batch_id,sample_id,lake,date,depth,CO2_FID,concentrationCO2Gas,CH4_FID,concentrationCH4Gas,concentrationN2OGas,replicate_median,concentrationCO2Air,concentrationCH4Air,concentrationN2OAir,gasVolume,waterVolume,waterTemp,headspaceTemp,barometricPressure
SSB,TB_2021-04-13_7_3,TB,4/13/21,7,12615.00592,11489.41175,18097.30806,18646.23006,0.19544,2,348.41914,1.71914,1.19375,35,105,4.2,4.2,95.448
SSB,SSB_2021-04-13_0_1,SSB,4/13/21,0,386.01272,544.41672,228.01318,231.33087,0.36158,2,352.3746,1.78892,1.03397,35,105,9.8,9.8,95.448
SSB,SSB_2021-04-13_0_2,SSB,4/13/21,0,563.54617,698.96188,219.42746,203.77656,0.4439,2,352.3746,1.78892,1.03397,35,105,9.8,9.8,95.448
SSB,SSB_2021-04-13_0_3,SSB,4/13/21,0,436.66442,581.99531,189.19289,169.75487,0.2383,2,352.3746,1.78892,1.03397,35,105,9.8,9.8,95.448
SSB,SSB_2021-04-13_3_1,SSB,4/13/21,3,8964.78523,8229.96818,2960.94552,2960.37864,0.09359,2,352.3746,1.78892,1.03397,35,105,4.3,4.3,95.448
SSB,SSB_2021-04-13_3_2,SSB,4/13/21,3,8512.71706,7809.31867,2921.39224,2923.14268,0.14934,2,352.3746,1.78892,1.03397,35,105,4.3,4.3,95.448
SSB,SSB_2021-04-13_3_3,SSB,4/13/21,3,9265.86025,8498.14133,3222.25389,3224.38969,0.37328,2,352.3746,1.78892,1.03397,35,105,4.3,4.3,95.448
SSB,SSB_2021-04-13_5_1,SSB,4/13/21,5,9719.2883,8890.77943,4160.09464,4174.16708,0.07273,2,352.3746,1.78892,1.03397,35,105,4.2,4.2,95.448
SSB,SSB_2021-04-13_5_2,SSB,4/13/21,5,9899.22182,9064.23994,4664.4965,4683.49924,0.24458,2,352.3746,1.78892,1.03397,35,105,4.2,4.2,95.448
SSB,SSB_2021-04-13_5_3,SSB,4/13/21,5,9590.86609,8785.11084,3760.38741,3765.81143,0.16923,2,352.3746,1.78892,1.03397,35,105,4.2,4.2,95.448
SSB,SSB_2021-04-13_7_1,SSB,4/13/21,7,11670.12964,10637.26127,11874.12271,12057.3397,0.36111,2,352.3746,1.78892,1.03397,35,105,4.1,4.1,95.448
SSB,SSB_2021-04-13_7_2,SSB,4/13/21,7,11967.94274,10910.95071,13713.91134,13950.66127,0.11831,2,352.3746,1.78892,1.03397,35,105,4.1,4.1,95.448
SSB,SSB_2021-04-13_7_3,SSB,4/13/21,7,11697.56542,10675.42634,12810.39432,13122.4236,0.2015,2,352.3746,1.78892,1.03397,35,105,4.1,4.1,95.448
SSB,blank,blank,NA,NA,387.98171,534.04202,54.06607,29.30589,0.37977,NA,NA,NA,NA,35,105,0.2,0.2,103.991
SSB,blank,blank,NA,NA,353.23211,510.28883,15.20603,-11.18774,0.12765,NA,NA,NA,NA,35,105,0.2,0.2,103.991
SSB,std3,std3,NA,NA,-71.96265,0,102.8638,82.60292,0,NA,NA,NA,NA,35,105,0.2,0.2,103.991
SSB,std6,std6,NA,NA,-77.98745,0,523.3193,516.65731,0.22868,NA,NA,NA,NA,35,105,0.2,0.2,103.991
SSB,std8,std8,NA,NA,-248.73181,0,1010.56519,1014.31346,0.16126,NA,NA,NA,NA,35,105,0.2,0.2,103.991
SSB,std10,std10,NA,NA,-78.80309,0,5033.2736,5061.94356,0,NA,NA,NA,NA,35,105,0.2,0.2,103.991
SSB,std7,std7,NA,NA,954.03131,1057.01952,31.31843,-0.29875,0,NA,NA,NA,NA,35,105,0.2,0.2,103.991
SSB,std9,std9,NA,NA,4949.47713,4657.08974,5.74363,0,0.00223,NA,NA,NA,NA,35,105,0.2,0.2,103.991
SSB,std12,std12,NA,NA,11464.36606,10481.32494,2.63182,0,0.04239,NA,NA,NA,NA,35,105,0.2,0.2,103.991
SSB,std11,std11,NA,NA,56381.29239,51412.81798,23903.37856,24566.48714,0,NA,NA,NA,NA,35,105,0.2,0.2,103.991
