lake,date,depth,CO2persat,CH4persat
SSB,1/13/21,3,2252.401355,128975.5889
SSB,1/13/21,5,2408.019339,258313.5904
SSB,1/13/21,7,2799.603663,591071.8277
TB,1/10/20,0,2404.798532,828299.5219
TB,1/10/20,3,2840.71334,1077827.595
TB,1/10/20,5,2916.865589,1048302.618
TB,1/10/20,7,3633.001679,4334028.37
TB,1/30/20,0,2379.931169,699422.8497
TB,1/30/20,3,2838.150616,1132675.44
TB,1/30/20,5,2956.93138,1471512.025
TB,1/30/20,7,5175.343209,16904943.69
TB,2/15/20,0,2844.482223,1101276.739
TB,2/15/20,3,2915.243956,1248278.846
TB,2/15/20,5,3205.943202,2021964.833
TB,2/15/20,7,3412.530771,2463121.61
TB,3/7/20,0,2691.10939,862436.3195
TB,3/7/20,3,2873.445057,1524558.244
TB,3/7/20,5,3032.614707,2252620.407
TB,3/7/20,7,3593.673651,4934659.25
TB,5/4/20,0,1891.986787,99737.0297
TB,5/4/20,3,2508.077049,177988.5886
TB,5/4/20,5,2018.574939,160093.1558
TB,5/4/20,7,3220.643767,464728.4938
TB,6/5/20,0,460.5281012,-635.1632855
TB,6/5/20,3,2876.992724,1913230.597
TB,6/5/20,5,2994.788552,2639694.284
TB,6/5/20,7,4164.861152,6374938.458
TB,6/11/20,0,612.8971594,948.185247
TB,6/11/20,3,2752.942688,96267.20963
TB,6/11/20,5,2856.622265,130545.4797
TB,6/11/20,7,3559.726327,273572.1335
TB,6/18/20,0,532.6125642,-611.4753457
TB,6/18/20,3,3508.537498,525704.3471
TB,6/18/20,5,3490.266124,631928.9182
TB,6/18/20,7,4860.991314,1842199.721
TB,6/24/20,0,1565.360326,5668.406547
TB,6/24/20,3,3801.911993,604744.6071
TB,6/24/20,5,3746.754262,752471.5439
TB,6/24/20,7,5452.425591,2567735.834
TB,6/30/20,0,505.2202281,3734.607258
TB,6/30/20,3,3537.035391,496460.4539
TB,6/30/20,5,3346.649384,578338.0027
TB,6/30/20,7,4974.337948,1897793.852
TB,7/7/20,0,608.3255241,2589.499757
TB,7/7/20,3,3338.433277,141683.5138
TB,7/7/20,5,3327.054988,189808.3193
TB,7/7/20,7,4788.281238,526312.1538
TB,7/16/20,0,1163.340025,4014.031508
TB,7/16/20,3,3841.904158,180649.6608
TB,7/16/20,5,3687.371081,225662.2188
TB,7/16/20,7,5199.185722,633504.367
TB,7/22/20,0,1019.947193,6617.788446
TB,8/4/20,0,1478.041669,34605.06829
TB,10/5/20,0,1597.590901,36690.29258
TB,10/5/20,3,4000.484009,213303.8466
TB,10/5/20,5,3736.998075,233201.6701
TB,10/5/20,7,5197.749896,785254.0017
TB,10/30/20,0,1977.137337,68160.52032
TB,10/30/20,3,1788.688918,62731.73687
TB,10/30/20,5,2216.205226,138674.6411
TB,10/30/20,7,4406.841374,728840.3338
TB,1/14/21,0,1670.723828,19463.79575
TB,1/14/21,3,2172.835251,38183.56096
TB,1/14/21,5,2550.499976,133233.7963
TB,1/14/21,7,4403.41686,760525.2829
