analysis_date,sample_id,lake,date,depth,replicate,parameter,value
4/16/21 6:51,SSB_2021-04-13_5_3,SSB,4/13/21,5,3,CO2_TCD,8785
4/16/21 6:21,SSB_2021-04-13_5_1,SSB,4/13/21,5,1,N2O_ECD,0
4/16/21 6:36,SSB_2021-04-13_5_2,SSB,4/13/21,5,2,N2O_ECD,0
4/16/21 6:51,SSB_2021-04-13_5_3,SSB,4/13/21,5,3,N2O_ECD,0
4/16/21 7:06,SSB_2021-04-13_7_1,SSB,4/13/21,7,1,CH4_TCD,12057
4/16/21 7:21,SSB_2021-04-13_7_2,SSB,4/13/21,7,2,CH4_TCD,13951
4/16/21 7:36,SSB_2021-04-13_7_3,SSB,4/13/21,7,3,CH4_TCD,13122
4/16/21 7:06,SSB_2021-04-13_7_1,SSB,4/13/21,7,1,CO2_TCD,10637
4/16/21 7:21,SSB_2021-04-13_7_2,SSB,4/13/21,7,2,CO2_TCD,10911
4/16/21 7:36,SSB_2021-04-13_7_3,SSB,4/13/21,7,3,CO2_TCD,10675
4/16/21 7:06,SSB_2021-04-13_7_1,SSB,4/13/21,7,1,N2O_ECD,0
4/16/21 7:21,SSB_2021-04-13_7_2,SSB,4/13/21,7,2,N2O_ECD,0
4/16/21 7:36,SSB_2021-04-13_7_3,SSB,4/13/21,7,3,N2O_ECD,0
4/15/21 19:51,SSB_2021-04-13_Air_1,SSB,4/13/21,Air,1,CH4_FID,2
4/15/21 20:06,SSB_2021-04-13_Air_2,SSB,4/13/21,Air,2,CH4_FID,2
4/15/21 20:21,SSB_2021-04-13_Air_3,SSB,4/13/21,Air,3,CH4_FID,2
4/15/21 19:51,SSB_2021-04-13_Air_1,SSB,4/13/21,Air,1,CO2_FID,352
4/15/21 20:06,SSB_2021-04-13_Air_2,SSB,4/13/21,Air,2,CO2_FID,356
4/15/21 20:21,SSB_2021-04-13_Air_3,SSB,4/13/21,Air,3,CO2_FID,352
4/15/21 19:51,SSB_2021-04-13_Air_1,SSB,4/13/21,Air,1,N2O_ECD,1
4/15/21 20:06,SSB_2021-04-13_Air_2,SSB,4/13/21,Air,2,N2O_ECD,1
4/15/21 20:21,SSB_2021-04-13_Air_3,SSB,4/13/21,Air,3,N2O_ECD,1
4/16/21 1:51,TB_2021-04-13_0_1,TB,4/13/21,0,1,CH4_FID,595
4/16/21 2:06,TB_2021-04-13_0_2,TB,4/13/21,0,2,CH4_FID,632
4/16/21 2:21,TB_2021-04-13_0_3,TB,4/13/21,0,3,CH4_FID,333
4/16/21 2:21,TB_2021-04-13_0_3,TB,4/13/21,0,3,CH4_TCD,1008
4/16/21 1:51,TB_2021-04-13_0_1,TB,4/13/21,0,1,CO2_TCD,2167
4/16/21 2:06,TB_2021-04-13_0_2,TB,4/13/21,0,2,CO2_TCD,2660
4/16/21 2:21,TB_2021-04-13_0_3,TB,4/13/21,0,3,CO2_TCD,1628
4/16/21 1:51,TB_2021-04-13_0_1,TB,4/13/21,0,1,N2O_ECD,0
4/16/21 2:06,TB_2021-04-13_0_2,TB,4/13/21,0,2,N2O_ECD,0
4/16/21 2:21,TB_2021-04-13_0_3,TB,4/13/21,0,3,N2O_ECD,0
4/16/21 2:36,TB_2021-04-13_3_1,TB,4/13/21,3,1,CH4_TCD,1997
4/16/21 2:51,TB_2021-04-13_3_2,TB,4/13/21,3,2,CH4_TCD,2779
4/16/21 3:06,TB_2021-04-13_3_3,TB,4/13/21,3,3,CH4_TCD,2244
4/16/21 2:36,TB_2021-04-13_3_1,TB,4/13/21,3,1,CO2_TCD,5341
4/16/21 2:51,TB_2021-04-13_3_2,TB,4/13/21,3,2,CO2_TCD,7520
4/16/21 3:06,TB_2021-04-13_3_3,TB,4/13/21,3,3,CO2_TCD,7394
4/16/21 2:36,TB_2021-04-13_3_1,TB,4/13/21,3,1,N2O_ECD,0
4/16/21 2:51,TB_2021-04-13_3_2,TB,4/13/21,3,2,N2O_ECD,0
4/16/21 3:06,TB_2021-04-13_3_3,TB,4/13/21,3,3,N2O_ECD,0
4/16/21 3:21,TB_2021-04-13_5_1,TB,4/13/21,5,1,CH4_TCD,6201
4/16/21 3:36,TB_2021-04-13_5_2,TB,4/13/21,5,2,CH4_TCD,6416
4/16/21 3:51,TB_2021-04-13_5_3,TB,4/13/21,5,3,CH4_TCD,6198
4/16/21 3:21,TB_2021-04-13_5_1,TB,4/13/21,5,1,CO2_TCD,8419
4/16/21 3:36,TB_2021-04-13_5_2,TB,4/13/21,5,2,CO2_TCD,8465
4/16/21 3:51,TB_2021-04-13_5_3,TB,4/13/21,5,3,CO2_TCD,8434
4/16/21 3:21,TB_2021-04-13_5_1,TB,4/13/21,5,1,N2O_ECD,0
4/16/21 3:36,TB_2021-04-13_5_2,TB,4/13/21,5,2,N2O_ECD,0
4/16/21 3:51,TB_2021-04-13_5_3,TB,4/13/21,5,3,N2O_ECD,0
4/16/21 4:06,TB_2021-04-13_7_1,TB,4/13/21,7,1,CH4_TCD,20219
4/16/21 4:21,TB_2021-04-13_7_2,TB,4/13/21,7,2,CH4_TCD,19286
4/16/21 4:36,TB_2021-04-13_7_3,TB,4/13/21,7,3,CH4_TCD,18646
4/16/21 4:06,TB_2021-04-13_7_1,TB,4/13/21,7,1,CO2_TCD,12224
4/16/21 4:21,TB_2021-04-13_7_2,TB,4/13/21,7,2,CO2_TCD,11992
4/16/21 4:36,TB_2021-04-13_7_3,TB,4/13/21,7,3,CO2_TCD,11489
4/16/21 4:06,TB_2021-04-13_7_1,TB,4/13/21,7,1,N2O_ECD,0
4/16/21 4:21,TB_2021-04-13_7_2,TB,4/13/21,7,2,N2O_ECD,0
4/16/21 4:36,TB_2021-04-13_7_3,TB,4/13/21,7,3,N2O_ECD,0
4/15/21 19:06,TB_2021-04-13_Air_1,TB,4/13/21,Air,1,CH4_FID,2
4/15/21 19:21,TB_2021-04-13_Air_2,TB,4/13/21,Air,2,CH4_FID,2
4/15/21 19:36,TB_2021-04-13_Air_3,TB,4/13/21,Air,3,CH4_FID,2
4/15/21 19:06,TB_2021-04-13_Air_1,TB,4/13/21,Air,1,CO2_FID,348
4/15/21 19:21,TB_2021-04-13_Air_2,TB,4/13/21,Air,2,CO2_FID,355
4/15/21 19:36,TB_2021-04-13_Air_3,TB,4/13/21,Air,3,CO2_FID,345
4/15/21 19:06,TB_2021-04-13_Air_1,TB,4/13/21,Air,1,N2O_ECD,1
4/15/21 19:21,TB_2021-04-13_Air_2,TB,4/13/21,Air,2,N2O_ECD,1
4/15/21 19:36,TB_2021-04-13_Air_3,TB,4/13/21,Air,3,N2O_ECD,1
