lake,date,lakedepth,CO2_FID,concentrationCO2Gas,CH4_FID,concentrationCH4Gas,concentrationN2OGas,concentrationCO2Air,concentrationCH4Air,concentrationN2OAir,gasVolume,waterVolume,waterTemp,headspaceTemp,barometricPressure,Sampling
TB,3/7/20,0.5,8681.21414,7851.97033,4434.76032,4419.06355,0,379.19256,70.33706,0.42008,60,940,1.3,1.3,96.459,fourth
TB,3/7/20,0.5,9192.87744,8318.60463,5424.20909,5413.69297,0,379.19256,70.33706,0.42008,60,940,1.3,1.3,96.459,fourth
TB,3/7/20,0.5,8975.24378,8104.16817,4873.55492,4852.53616,0,379.19256,70.33706,0.42008,60,940,1.3,1.3,96.459,fourth
TB,3/7/20,3,9994.47472,9028.94087,8382.18246,8373.92531,0,379.19256,70.33706,0.42008,60,940,3.6,3.6,96.459,fourth
TB,3/7/20,3,10178.79734,9183.55425,8965.92901,8955.90769,0,379.19256,70.33706,0.42008,60,940,3.6,3.6,96.459,fourth
TB,3/7/20,3,10118.89662,9144.46613,9827.34336,9817.46108,0,379.19256,70.33706,0.42008,60,940,3.6,3.6,96.459,fourth
TB,3/7/20,5,10397.86161,9368.59195,8703.81206,8680.00428,0,379.19256,70.33706,0.42008,60,940,3.9,3.9,96.459,fourth
TB,3/7/20,5,10281.7054,9294.96201,13116.8699,13137.65283,0,379.19256,70.33706,0.42008,60,940,3.9,3.9,96.459,fourth
TB,3/7/20,5,10672.21473,9629.33619,13096.61613,13120.90906,0,379.19256,70.33706,0.42008,60,940,3.9,3.9,96.459,fourth
TB,3/7/20,7,12395.12361,11152.62668,31481.81966,31942.41935,0,379.19256,70.33706,0.42008,60,940,4,4,96.459,fourth
TB,3/7/20,7,12002.92724,10815.88945,26725.57292,27026.80504,0,379.19256,70.33706,0.42008,60,940,4,4,96.459,fourth
TB,3/7/20,7,11748.91837,10568.14433,25093.80841,25337.18822,0,379.19256,70.33706,0.42008,60,940,4,4,96.459,fourth
