"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-01-16","1.3","20.0","279.0","-6.7","-18.9","-17.2"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-01-17","0.0","0.0","254.0","-7.2","-17.8","-14.4"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-01-18","0.0","0.0","254.0","-4.4","-16.1","-8.9"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-01-19","0.0","0.0","254.0","1.1","-8.9","-6.1"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-01-20","0.0","0.0","229.0","3.3","-6.1","-5.6"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-01-21","0.0","0.0","229.0","2.8","-7.2","-2.2"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-01-22","0.0","0.0","203.0","2.8","-2.8","-2.2"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-01-23","14.0","160.0","356.0","-1.7","-8.9","-8.9"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-01-24","0.0","0.0","330.0","-7.2","-17.2","-15.6"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-01-25","0.0","0.0","330.0","-7.8","-17.8","-9.4"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-01-26","0.0","0.0","330.0","-2.2","-9.4","-2.2"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-01-27","0.0","0.0","305.0","4.4","-2.8","-1.1"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-01-28","0.0","0.0","279.0","0.0","-11.7","-9.4"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-01-29","0.0","0.0","279.0","-7.2","-12.2","-12.2"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-01-30","0.0","0.0","279.0","-10.0","-23.9","-23.9"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-01-31","3.0","36.0","305.0","-4.4","-25.0","-5.6"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-02-01","0.0","0.0","305.0","0.0","-22.2","-22.2"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-02-02","0.0","0.0","305.0","-16.7","-27.2","-27.2"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-02-03","2.0","30.0","330.0","-15.0","-27.8","-16.7"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-02-04","5.1","76.0","406.0","-11.1","-20.6","-20.0"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-02-05","0.0","0.0","381.0","-15.6","-27.2","-25.0"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-02-06","0.0","0.0","356.0","-11.7","-28.3","-28.3"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-02-07","0.0","0.0","356.0","-13.3","-28.9","-20.6"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-02-08","0.0","0.0","356.0","-10.6","-27.8","-26.7"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-02-09","0.0","0.0","330.0","-11.1","-26.7","-19.4"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-02-10","0.0","0.0","330.0","-12.2","-24.4","-21.7"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-02-11","0.0","0.0","330.0","-8.3","-23.3","-20.0"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-02-12","0.0","0.0","305.0","-6.7","-22.8","-22.8"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-02-13","0.0","0.0","305.0","-11.1","-23.9","-14.4"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-02-14","0.0","0.0","305.0","-2.8","-14.4","-8.3"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-02-15","0.0","0.0","279.0","7.2","-8.9","-2.8"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-02-16","0.0","0.0","279.0","1.1","-16.7","-16.7"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-02-17","0.0","0.0","279.0","-7.8","-17.8","-11.7"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-02-18","0.0","0.0","279.0","-1.7","-15.6","-14.4"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-02-19","0.0","0.0","279.0","0.6","-14.4","-7.8"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-02-20","4.1","5.0","279.0","-6.7","-8.9","-6.7"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-02-21","0.0","0.0","279.0","-3.3","-17.8","-17.8"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-02-22","0.0","0.0","279.0","-7.2","-22.2","-17.8"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-02-23","15.2","152.0","432.0","0.6","-20.0","-1.7"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-02-24","0.0","0.0","432.0","-1.7","-16.1","-13.3"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-02-25","11.4","102.0","533.0","1.1","-13.3","-5.0"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-02-26","0.0","0.0","533.0","-4.4","-10.6","-10.6"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-02-27","0.0","0.0","432.0","5.6","-10.6","-5.6"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-02-28","0.0","0.0","381.0","7.8","-6.1","-4.4"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-03-01","1.8","15.0","381.0","6.7","-4.4","-4.4"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-03-02","1.0","13.0","381.0","1.1","-16.7","-16.7"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-03-03","0.0","0.0","381.0","5.6","-16.7","-4.4"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-03-04","0.0","0.0","381.0","4.4","-4.4","-1.1"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-03-05","0.0","0.0","381.0","1.7","-2.8","-2.8"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-03-06","3.3","36.0","406.0","1.7","-5.0","-5.0"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-03-07","2.0","23.0","432.0","-1.1","-10.6","-9.4"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-03-08","0.0","0.0","406.0","-5.6","-15.6","-8.3"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-03-09","0.0","0.0","381.0","-2.8","-14.4","-11.1"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-03-10","0.0","0.0","381.0","1.1","-19.4","-18.3"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-03-11","0.0","0.0","381.0","1.1","-18.3","-10.0"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-03-12","0.0","0.0","381.0","2.2","-10.0","-6.7"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-03-13","0.0","0.0","381.0","2.2","-8.9","-8.9"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-03-14","0.0","0.0","381.0","-4.4","-17.8","-17.2"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-03-15","0.0","0.0","356.0","5.0","-17.8","-5.0"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-03-16","0.0","0.0","356.0","-2.2","-18.3","-18.3"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-03-17","0.0","0.0","356.0","3.9","-18.3","-13.9"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-03-18","0.0","0.0","330.0","8.3","-13.9","-9.4"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-03-19","0.0","0.0","330.0","8.3","-10.0","-3.3"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-03-20","0.0","0.0","305.0","2.2","-10.6","-10.0"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-03-21","0.0","0.0","305.0","-1.1","-10.0","-10.0"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-03-22","0.0","0.0","305.0","1.7","-14.4","-13.9"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-03-23","0.0","0.0","305.0","3.3","-14.4","-14.4"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-03-24","0.0","0.0","305.0","3.3","-14.4","-7.8"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-03-25","0.0","0.0","305.0","3.3","-8.3","-8.3"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-03-26","0.0","0.0","279.0","5.0","-8.3","-7.8"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-03-27","13.7","10.0","279.0","5.6","-7.8","0.0"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-03-28","0.0","0.0","254.0","2.2","-6.1","-6.1"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-03-29","0.0","0.0","203.0","8.9","-6.1","-3.3"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-03-30","0.0","0.0","178.0","3.9","-7.8","-2.2"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-03-31","12.4","191.0","356.0","-2.2","-10.6","-5.6"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-04-01","4.8","51.0","406.0","-3.3","-16.7","-15.6"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-04-02","0.0","0.0","330.0","-2.8","-17.8","-17.2"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-04-03","2.8","20.0","330.0","1.7","-17.2","-6.1"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-04-04","8.1","71.0","381.0","-2.2","-11.1","-10.6"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-04-05","0.0","0.0","381.0","-2.8","-13.9","-13.9"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-04-06","1.5","18.0","356.0","2.2","-13.9","-8.3"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-04-07","1.5","5.0","356.0","-3.9","-11.7","-10.0"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-04-08","0.0","0.0","356.0","-1.7","-21.1","-20.6"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-04-09","0.0","0.0","330.0","0.6","-20.6","-8.9"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-04-10","0.0","0.0","330.0","3.3","-12.2","-12.2"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-04-11","0.0","0.0","305.0","2.8","-12.8","-2.8"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-04-12","6.4","0.0","203.0","7.8","-2.8","0.6"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-04-13","0.0","0.0","203.0","3.9","0.0","0.6"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-04-14","0.0","0.0","178.0","5.0","-4.4","-4.4"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-04-15","13.5","152.0","305.0","-3.9","-7.8","-7.8"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-04-16","16.8","152.0","432.0","-5.6","-7.8","-6.1"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-04-17","1.5","20.0","457.0","-4.4","-6.7","-5.6"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-04-18","0.0","0.0","381.0","-1.7","-5.6","-2.8"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-04-19","0.0","0.0","330.0","5.6","-9.4","-8.3"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-04-20","0.0","0.0","254.0","10.6","-9.4","-8.9"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-04-21","0.0","0.0","254.0","13.3","-8.9","-3.9"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-04-22","0.0","0.0","178.0","13.9","-6.1","-3.9"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-04-23","0.0","0.0","102.0","15.6","-3.9","-2.8"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-04-24","0.0","0.0","51.0","17.2","-2.8","-1.1"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-04-25","0.0","0.0","0.0","15.0","-3.9","-3.3"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-04-26","0.0","0.0","0.0","10.6","-3.3","-2.2"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-04-27","0.0","0.0","0.0","16.1","-5.0","-2.8"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-04-28","0.0","0.0","0.0","6.7","-5.6","-5.0"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-04-29","0.0","0.0","0.0","7.2","-7.2","-6.1"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-04-30","0.0","0.0","0.0","16.1","-6.1","7.2"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-05-01","0.0","0.0","0.0","23.3","7.2","14.4"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-05-02","1.0","0.0","0.0","24.4","8.9","8.9"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-05-03","0.0","0.0","0.0","16.7","5.0","6.1"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-05-04","2.3","0.0","0.0","21.7","6.1","8.3"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-05-05","0.0","0.0","0.0","22.8","2.8","5.0"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-05-06","1.3","0.0","0.0","23.3","5.0","7.2"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-05-07","0.0","0.0","0.0","20.0","3.9","10.0"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-05-08","0.0","0.0","0.0","26.7","6.7","10.6"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-05-09","2.5","0.0","0.0","25.0","8.9","8.9"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-05-10","3.8","0.0","0.0","12.8","5.6","6.1"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-05-11","0.0","0.0","0.0","11.7","-2.8","1.1"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-05-12","0.0","0.0","0.0","12.8","-2.2","2.8"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-05-13","0.0","0.0","0.0","17.8","0.0","4.4"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-05-14","0.0","0.0","0.0","22.8","4.4","8.9"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-05-15","0.0","0.0","0.0","25.6","7.8","10.0"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-05-16","0.0","0.0","0.0","25.0","10.0","13.9"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-05-17","2.0","0.0","0.0","28.9","6.7","6.7"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-05-18","0.0","0.0","0.0","21.1","6.1","8.3"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-05-19","0.0","0.0","0.0","25.0","7.8","8.9"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-05-20","0.0","0.0","0.0","22.8","1.1","2.2"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-05-21","0.0","0.0","0.0","20.0","1.1","5.0"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-05-22","0.0","0.0","0.0","20.6","5.0","12.2"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-05-23","0.0","0.0","0.0","24.4","8.3","11.1"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-05-24","0.0","0.0","0.0","27.2","11.1","17.8"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-05-25","0.0","0.0","0.0","27.8","17.8","18.9"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-05-26","0.0","0.0","0.0","26.1","12.8","15.6"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-05-27","0.0","0.0","0.0","31.7","12.8","15.6"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-05-28","6.4","0.0","0.0","30.6","15.6","17.8"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-05-29","0.5","0.0","0.0","31.7","17.2","22.2"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-05-30","0.0","0.0","0.0","30.0","17.8","18.9"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-05-31","7.9","0.0","0.0","24.4","17.8","17.8"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-06-01","0.0","0.0","0.0","26.1","10.0","10.0"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-06-02","0.0","0.0","0.0","20.0","9.4","10.0"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-06-03","19.3","0.0","0.0","21.7","10.0","11.7"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-06-04","3.6","0.0","0.0","15.6","7.8","11.7"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-06-05","0.0","0.0","0.0","21.7","3.3","10.6"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-06-06","0.0","0.0","0.0","18.9","7.8","10.0"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-06-07","3.3","0.0","0.0","18.3","7.2","10.0"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-06-08","0.0","0.0","0.0","21.7","10.0","12.8"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-06-09","0.0","0.0","0.0","18.9","12.8","15.0"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-06-10","0.0","0.0","0.0","23.3","12.8","15.0"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-06-11","0.0","0.0","0.0","23.9","12.2","13.9"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-06-12","0.0","0.0","0.0","24.4","13.9","16.7"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-06-13","20.8","0.0","0.0","23.3","11.1","12.2"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-06-14","0.0","0.0","0.0","23.3","7.8","10.6"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-06-15","5.1","0.0","0.0","25.0","10.6","14.4"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-06-16","106.9","0.0","0.0","22.8","13.9","18.3"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-06-17","24.9","0.0","0.0","23.3","17.2","18.9"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-06-18","37.3","0.0","0.0","28.9","17.8","17.8"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-06-19","0.0","0.0","0.0","23.9","13.3","16.7"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-06-20","0.0","0.0","0.0","23.3","12.8","15.0"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-06-21","0.0","0.0","0.0","25.0","13.3","14.4"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-06-22","0.0","0.0","0.0","23.3","10.0","12.8"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-06-23","0.0","0.0","0.0","24.4","8.9","11.1"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-06-24","0.0","0.0","0.0","26.1","11.1","13.9"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-06-25","0.0","0.0","0.0","23.9","12.2","13.3"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-06-26","0.0","0.0","0.0","25.0","12.2","14.4"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-06-27","1.3","0.0","0.0","23.9","14.4","16.1"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-06-28","0.0","0.0","0.0","24.4","14.4","16.7"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-06-29","0.0","0.0","0.0","29.4","16.7","20.0"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-06-30","0.0","0.0","0.0","32.2","20.0","24.4"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-07-01","8.4","0.0","0.0","31.1","18.9","20.0"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-07-02","1.5","0.0","0.0","25.6","12.2","15.0"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-07-03","0.0","0.0","0.0","27.2","15.0","20.0"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-07-04","0.0","0.0","0.0","27.2","16.7","18.9"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-07-05","5.1","0.0","0.0","30.0","17.8","18.9"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-07-06","0.0","0.0","0.0","25.0","7.8","10.0"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-07-07","0.0","0.0","0.0","24.4","10.0","15.6"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-07-08","0.0","0.0","0.0","25.6","15.0","18.3"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-07-09","0.0","0.0","0.0","28.9","18.3","19.4"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-07-10","0.0","0.0","0.0","27.8","10.6","12.8"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-07-11","0.0","0.0","0.0","26.7","12.2","16.7"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-07-12","13.7","0.0","0.0","25.6","16.7","17.2"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-07-13","15.7","0.0","0.0","23.9","17.2","19.4"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-07-14","1.3","0.0","0.0","23.9","13.9","16.1"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-07-15","0.0","0.0","0.0","29.4","15.0","17.8"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-07-16","0.0","0.0","0.0","28.3","12.8","14.4"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-07-17","0.0","0.0","0.0","25.0","8.3","10.6"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-07-18","0.0","0.0","0.0","20.6","7.2","10.6"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-07-19","0.0","0.0","0.0","23.9","10.6","16.1"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-07-20","4.1","0.0","0.0","25.6","15.6","16.7"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-07-21","21.6","0.0","0.0","18.3","13.3","13.3"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-07-22","0.0","0.0","0.0","19.4","13.3","15.0"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-07-23","0.0","0.0","0.0","23.9","9.4","11.7"
"USC00475516","MINOCQUA, WI US","45.8865","-89.7322","488.0","2018-07-24","0.0","0.0","0.0","26.1","11.7","13.9"
